Input File,Station,Average House Price,Destination,Duration,Frequency,Changes,Primary Schools Link,Secondary Schools Link
commutefrom-E.csv,Abbey Wood,231053,London Bridge,00:24,every 00:06,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Abbey%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Abbey%20Wood&t=sec
commutefrom-E.csv,Abbey Wood,231053,Cannon Street,00:31,every 00:10,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Abbey%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Abbey%20Wood&t=sec
commutefrom-E.csv,Abbey Wood,231053,Waterloo,00:39,every 00:07,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Abbey%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Abbey%20Wood&t=sec
commutefrom-E.csv,Abbey Wood,231053,Charing Cross,00:41,every 00:10,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Abbey%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Abbey%20Wood&t=sec
commutefrom-E.csv,Abbey Wood,231053,Blackfriars,00:42,every 00:06,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Abbey%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Abbey%20Wood&t=sec
commutefrom-E.csv,Abbey Wood,231053,Victoria,00:58,every 00:06,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Abbey%20Wood&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Abbey%20Wood&t=sec
commutefrom-E.csv,Albany Park,231053,London Bridge,00:21,every 00:20,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Albany%20Park&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Albany%20Park&t=sec
commutefrom-E.csv,Albany Park,231053,Waterloo,00:31,every 00:20,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Albany%20Park&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Albany%20Park&t=sec
commutefrom-E.csv,Albany Park,231053,Charing Cross,00:32,every 00:20,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Albany%20Park&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Albany%20Park&t=sec
commutefrom-E.csv,Albany Park,231053,Cannon Street,00:39,every 00:10,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Albany%20Park&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Albany%20Park&t=sec
commutefrom-E.csv,Albany Park,231053,Victoria,00:49,every 00:10,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Albany%20Park&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Albany%20Park&t=sec
commutefrom-E.csv,Albany Park,231053,Blackfriars,00:52,every 00:12,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Albany%20Park&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Albany%20Park&t=sec
commutefrom-E.csv,Anerley,347974,London Bridge,00:23,every 00:15,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Anerley&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Anerley&t=sec
commutefrom-E.csv,Anerley,347974,Victoria,00:30,every 00:09,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Anerley&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Anerley&t=sec
commutefrom-E.csv,Anerley,347974,Moorgate,00:41,every 00:11,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Anerley&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Anerley&t=sec
commutefrom-E.csv,Anerley,347974,Waterloo,00:42,every 00:07,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Anerley&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Anerley&t=sec
commutefrom-E.csv,Anerley,347974,Charing Cross,00:43,every 00:12,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Anerley&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Anerley&t=sec
commutefrom-E.csv,Anerley,347974,Blackfriars,00:44,every 00:07,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Anerley&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Anerley&t=sec
commutefrom-E.csv,Anerley,347974,Kings Cross,00:45,every 00:11,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Anerley&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Anerley&t=sec
commutefrom-E.csv,Ashford International,257530,St Pancras,00:36,every 00:37,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ashford%20International&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ashford%20International&t=sec
commutefrom-E.csv,Ashurst,374023,London Bridge,00:52,every 00:00,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ashurst&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Ashurst&t=sec
commutefrom-E.csv,Barking,181148,Fenchurch Street,00:16,every 00:04,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Barking&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Barking&t=sec
commutefrom-E.csv,Barnehurst,231053,London Bridge,00:30,every 00:10,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Barnehurst&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Barnehurst&t=sec
commutefrom-E.csv,Barnehurst,231053,Cannon Street,00:37,every 00:18,0,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Barnehurst&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Barnehurst&t=sec
commutefrom-E.csv,Barnehurst,231053,Waterloo,00:39,every 00:11,1,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Barnehurst&t=pri,http://home.rm.com/schoolfinder/ShowSchools.aspx?l=Barnehurst&t=sec
