From (train),House Price,To (train),Train time,Changes,Frequency,From (tube),To (tube),Tube time,Total time
Alexandra Palace,438758,Moorgate,00:20,0,every 00:05,,,,00:20
Alexandra Palace,438758,Kings Cross,00:20,1,every 00:05,,,,00:20
Alexandra Palace,438758,London Bridge,00:27,1,every 00:05,,,,00:27
Alexandra Palace,438758,Blackfriars,00:34,1,every 00:06,,,,00:34
Amersham,536037,Marylebone,00:39,0,every 00:16,,,,00:39
Angel Road,307394,Liverpool Street,00:21,0,every 00:43,,,,00:21
Apsley,343109,Euston,00:27,0,every 00:24,,,,00:27
Arlesey,251158,Kings Cross,00:34,0,every 00:30,,,,00:34
Arlesey,251158,Moorgate,00:50,1,every 00:45,,,,00:50
Arlesey,251158,London Bridge,00:57,1,every 00:45,,,,00:57
Ashwell & Morden,303061,Kings Cross,00:42,0,every 00:15,,,,00:42
Ashwell & Morden,303061,Moorgate,00:58,1,every 00:22,,,,00:58
Audley End,365312,Liverpool Street,00:51,0,every 00:15,,,,00:51
Baldock,274270,Kings Cross,00:37,0,every 00:15,,,,00:37
Baldock,274270,Moorgate,00:53,1,every 00:22,,,,00:53
Bayford,322619,Moorgate,00:44,0,every 00:21,,,,00:44
Bayford,322619,Kings Cross,00:46,1,every 00:21,,,,00:46
Bayford,322619,London Bridge,00:51,1,every 00:21,,,,00:51
Bayford,322619,Blackfriars,00:59,1,every 00:21,,,,00:59
Beaconsfield,565049,Marylebone,00:23,0,every 00:14,,,,00:23
Bedford (Midland),207633,Kings Cross,00:55,1,every 00:06,,,,00:55
Bedford (Midland),207633,Euston,00:59,1,every 00:09,,,,00:59
Berkhamsted,343109,Euston,00:33,0,every 00:14,,,,00:33
Biggleswade,251158,Kings Cross,00:35,0,every 00:22,,,,00:35
Biggleswade,251158,Moorgate,00:55,1,every 00:45,,,,00:55
Billericay,235205,Liverpool Street,00:34,0,every 00:08,,,,00:34
Bishops Stortford,322619,Liverpool Street,00:38,0,every 00:07,,,,00:38
Bletchley,219344,Euston,00:45,0,every 00:11,,,,00:45
Bowes Park,438758,Moorgate,00:21,0,every 00:08,,,,00:21
Bowes Park,438758,Kings Cross,00:23,1,every 00:08,,,,00:23
Bowes Park,438758,London Bridge,00:28,1,every 00:08,,,,00:28
