From (train),House Price,To (train),Train time,Changes,Frequency,From (tube),To (tube),Tube time,Total time
Abbey Wood,231053,London Bridge,00:24,0,every 00:06,,,,00:24
Abbey Wood,231053,Cannon Street,00:31,0,every 00:10,,,,00:31
Abbey Wood,231053,Waterloo,00:39,1,every 00:07,,,,00:39
Abbey Wood,231053,Charing Cross,00:41,0,every 00:10,,,,00:41
Abbey Wood,231053,Blackfriars,00:42,1,every 00:06,,,,00:42
Abbey Wood,231053,Victoria,00:58,1,every 00:06,,,,00:58
Addlestone,332113,Waterloo,00:54,1,every 00:15,,,,00:54
Aldershot,217862,Waterloo,00:47,0,every 00:17,,,,00:47
Anerley,347974,London Bridge,00:23,0,every 00:15,,,,00:23
Anerley,347974,Victoria,00:30,1,every 00:09,,,,00:30
Anerley,347974,Moorgate,00:41,1,every 00:11,,,,00:41
Anerley,347974,Waterloo,00:42,1,every 00:07,,,,00:42
Anerley,347974,Charing Cross,00:43,1,every 00:12,,,,00:43
Anerley,347974,Blackfriars,00:44,1,every 00:07,,,,00:44
Anerley,347974,Kings Cross,00:45,1,every 00:11,,,,00:45
Ash,438370,Waterloo,00:54,1,every 00:13,,,,00:54
Ash Vale,438370,Waterloo,00:42,0,every 00:25,,,,00:42
Ashford (Middlesex),300247,Waterloo,00:38,0,every 00:13,,,,00:38
Ashford International,257530,St Pancras,00:36,0,every 00:37,,,,00:36
Ashtead,454383,Waterloo,00:41,0,every 00:15,,,,00:41
Ashtead,454383,Victoria,00:44,0,every 00:10,,,,00:44
Ashtead,454383,London Bridge,00:46,0,every 00:18,,,,00:46
Ashurst,374023,London Bridge,00:52,0,every 00:00,,,,00:52
Balcombe,317431,London Bridge,00:40,0,every 00:21,,,,00:40
Balcombe,317431,Blackfriars,00:46,0,every 00:18,,,,00:46
Balcombe,317431,Victoria,00:47,1,every 00:21,,,,00:47
Balham,569614,Waterloo,00:25,1,every 00:05,,,,00:25
Balham,569614,London Bridge,00:34,0,every 00:13,,,,00:34
Balham,569614,Charing Cross,00:34,1,every 00:05,,,,00:34
Banstead,350380,London Bridge,00:50,1,every 00:30,,,,00:50
Banstead,350380,Victoria,00:52,0,every 00:30,,,,00:52
Barnes,592341,Waterloo,00:22,0,every 00:07,,,,00:22
Barnes Bridge,592341,Waterloo,00:25,0,every 00:15,,,,00:25
Bat & Ball,448336,London Bridge,00:32,1,every 00:23,,,,00:32
Bat & Ball,448336,Cannon Street,00:40,1,every 00:23,,,,00:40
Bat & Ball,448336,Waterloo,00:42,2,every 00:19,,,,00:42
Bat & Ball,448336,Charing Cross,00:43,1,every 00:19,,,,00:43
Bat & Ball,448336,Blackfriars,00:49,0,every 00:17,,,,00:49
Bat & Ball,448336,Victoria,00:55,1,every 00:14,,,,00:55
Battersea Park,569614,London Bridge,00:23,0,every 00:15,,,,00:23
Battersea Park,569614,Waterloo,00:23,1,every 00:04,,,,00:23
Battersea Park,569614,Charing Cross,00:28,1,every 00:05,,,,00:28
Beckenham Hill,298892,Blackfriars,00:25,0,every 00:16,,,,00:25
Beckenham Hill,298892,Victoria,00:27,1,every 00:17,,,,00:27
Beckenham Hill,298892,London Bridge,00:28,1,every 00:23,,,,00:28
Beckenham Hill,298892,Waterloo,00:38,1,every 00:23,,,,00:38
Beckenham Hill,298892,Charing Cross,00:39,1,every 00:23,,,,00:39
Beckenham Hill,298892,Cannon Street,00:46,2,every 00:14,,,,00:46
Beckenham Junction,347974,Victoria,00:22,0,every 00:12,,,,00:22
Beckenham Junction,347974,Blackfriars,00:24,0,every 00:11,,,,00:24
Beckenham Junction,347974,London Bridge,00:35,0,every 00:09,,,,00:35
Beckenham Junction,347974,Charing Cross,00:37,1,every 00:15,,,,00:37
Beckenham Junction,347974,Waterloo,00:39,1,every 00:15,,,,00:39
Beckenham Junction,347974,Cannon Street,00:52,1,every 00:04,,,,00:52
Bellingham,298892,Blackfriars,00:23,0,every 00:16,,,,00:23
Bellingham,298892,Victoria,00:25,1,every 00:18,,,,00:25
Bellingham,298892,London Bridge,00:26,1,every 00:26,,,,00:26
Bellingham,298892,Waterloo,00:36,1,every 00:26,,,,00:36
Bellingham,298892,Charing Cross,00:37,1,every 00:26,,,,00:37
Bellingham,298892,Cannon Street,00:43,2,every 00:18,,,,00:43
Belmont,274783,London Bridge,00:48,1,every 00:30,,,,00:48
Belmont,274783,Victoria,00:49,0,every 00:30,,,,00:49
Belmont,274783,Waterloo,00:59,1,every 00:30,,,,00:59
Beltring,237054,London Bridge,00:51,1,every 00:34,,,,00:51
Berrylands,412144,Waterloo,00:27,0,every 00:30,,,,00:27
Bickley,347974,London Bridge,00:29,1,every 00:13,,,,00:29
Bickley,347974,Victoria,00:30,0,every 00:09,,,,00:30
Bickley,347974,Blackfriars,00:33,0,every 00:07,,,,00:33
Bickley,347974,Cannon Street,00:44,1,every 00:13,,,,00:44
Bickley,347974,Charing Cross,00:46,1,every 00:08,,,,00:46
Bickley,347974,Waterloo,00:47,1,every 00:05,,,,00:47
Birkbeck,347974,Victoria,00:31,1,every 00:07,,,,00:31
Birkbeck,347974,London Bridge,00:32,0,every 00:10,,,,00:32
Birkbeck,347974,Charing Cross,00:48,1,every 00:04,,,,00:48
Birkbeck,347974,Waterloo,00:50,2,every 00:03,,,,00:50
Blackheath,298892,Cannon Street,00:19,0,every 00:15,,,,00:19
Blackheath,298892,Waterloo,00:20,1,every 00:11,,,,00:20
Blackheath,298892,Charing Cross,00:21,0,every 00:11,,,,00:21
Blackheath,298892,Victoria,00:27,0,every 00:16,,,,00:27
Blackheath,298892,Blackfriars,00:39,1,every 00:05,,,,00:39
Bookham,454383,Waterloo,00:49,0,every 00:19,,,,00:49
Borough Green & Wrotham,309378,Victoria,00:49,0,every 00:13,,,,00:49
Borough Green & Wrotham,309378,Blackfriars,00:50,0,every 00:19,,,,00:50
Borough Green & Wrotham,309378,London Bridge,00:59,1,every 00:20,,,,00:59
Boxhill & Westhumble,454383,Victoria,00:50,0,every 00:21,,,,00:50
Boxhill & Westhumble,454383,Waterloo,00:59,1,every 00:29,,,,00:59
Brentford,382711,Waterloo,00:32,0,every 00:15,,,,00:32
Brixton,411350,Blackfriars,00:18,1,every 00:15,,,,00:18
Brixton,411350,Charing Cross,00:31,1,every 00:07,,,,00:31
Brixton,411350,Waterloo,00:34,1,every 00:07,,,,00:34
Brixton,411350,London Bridge,00:39,1,every 00:07,,,,00:39
Brixton,411350,Cannon Street,00:39,1,every 00:15,,,,00:39
Brockley,298892,Moorgate,00:29,1,every 00:07,,,,00:29
Brockley,298892,Waterloo,00:30,1,every 00:05,,,,00:30
Brockley,298892,Charing Cross,00:31,1,every 00:11,,,,00:31
Brockley,298892,Blackfriars,00:32,1,every 00:07,,,,00:32
Brockley,298892,Kings Cross,00:33,1,every 00:07,,,,00:33
Brockley,298892,Victoria,00:40,0,every 00:06,,,,00:40
Bromley North,347974,London Bridge,00:22,1,every 00:22,,,,00:22
Bromley North,347974,Cannon Street,00:29,1,every 00:22,,,,00:29
Bromley North,347974,Waterloo,00:34,2,every 00:13,,,,00:34
Bromley North,347974,Charing Cross,00:35,1,every 00:13,,,,00:35
Bromley North,347974,Victoria,00:41,1,every 00:06,,,,00:41
Bromley North,347974,Blackfriars,00:48,1,every 00:07,,,,00:48
Bromley South,347974,Victoria,00:23,0,every 00:06,,,,00:23
Bromley South,347974,Blackfriars,00:30,0,every 00:07,,,,00:30
Bromley South,347974,London Bridge,00:36,1,every 00:04,,,,00:36
Bromley South,347974,Charing Cross,00:42,1,every 00:04,,,,00:42
Bromley South,347974,Waterloo,00:43,1,every 00:06,,,,00:43
Bromley South,347974,Cannon Street,00:47,1,every 00:05,,,,00:47
Brookwood,357859,Waterloo,00:35,0,every 00:10,,,,00:35
Burgess Hill,317431,Victoria,00:52,0,every 00:10,,,,00:52
Burgess Hill,317431,London Bridge,00:54,0,every 00:15,,,,00:54
Byfleet & New Haw,332113,Waterloo,00:37,0,every 00:19,,,,00:37
Canterbury West,238755,St Pancras,00:59,0,every 00:33,,,,00:59
Carshalton,274783,Victoria,00:24,0,every 00:15,,,,00:24
Carshalton,274783,Blackfriars,00:32,0,every 00:19,,,,00:32
Carshalton,274783,London Bridge,00:35,0,every 00:18,,,,00:35
Carshalton,274783,Waterloo,00:41,1,every 00:12,,,,00:41
Carshalton,274783,Charing Cross,00:45,1,every 00:07,,,,00:45
Carshalton,274783,Moorgate,00:51,1,every 00:18,,,,00:51
Carshalton,274783,Kings Cross,00:52,1,every 00:08,,,,00:52
Carshalton Beeches,274783,London Bridge,00:27,0,every 00:12,,,,00:27
Carshalton Beeches,274783,Victoria,00:40,0,every 00:11,,,,00:40
Carshalton Beeches,274783,Waterloo,00:51,1,every 00:09,,,,00:51
Carshalton Beeches,274783,Charing Cross,00:52,1,every 00:11,,,,00:52
Caterham,385858,London Bridge,00:43,0,every 00:15,,,,00:43
Caterham,385858,Victoria,00:44,0,every 00:15,,,,00:44
Caterham,385858,Waterloo,00:56,1,every 00:15,,,,00:56
Catford,298892,Blackfriars,00:20,0,every 00:16,,,,00:20
Catford,298892,Victoria,00:22,1,every 00:13,,,,00:22
Catford,298892,London Bridge,00:25,1,every 00:10,,,,00:25
Catford,298892,Cannon Street,00:29,1,every 00:17,,,,00:29
Catford,298892,Waterloo,00:29,1,every 00:10,,,,00:29
Catford,298892,Charing Cross,00:30,1,every 00:06,,,,00:30
Catford Bridge,298892,London Bridge,00:18,0,every 00:10,,,,00:18
Catford Bridge,298892,Cannon Street,00:21,0,every 00:17,,,,00:21
Catford Bridge,298892,Waterloo,00:21,1,every 00:14,,,,00:21
Catford Bridge,298892,Charing Cross,00:22,0,every 00:14,,,,00:22
Catford Bridge,298892,Blackfriars,00:28,1,every 00:12,,,,00:28
Catford Bridge,298892,Victoria,00:30,1,every 00:10,,,,00:30
Charlton,298130,Cannon Street,00:18,0,every 00:10,,,,00:18
Charlton,298130,Waterloo,00:28,1,every 00:08,,,,00:28
Charlton,298130,Charing Cross,00:29,0,every 00:10,,,,00:29
Charlton,298130,Blackfriars,00:42,1,every 00:05,,,,00:42
Charlton,298130,Victoria,00:43,1,every 00:07,,,,00:43
Chatham,174947,London Bridge,00:41,0,every 00:21,,,,00:41
Chatham,174947,Cannon Street,00:48,0,every 00:24,,,,00:48
Chatham,174947,Victoria,00:53,0,every 00:11,,,,00:53
Cheam,274783,Victoria,00:30,0,every 00:15,,,,00:30
Cheam,274783,London Bridge,00:34,0,every 00:16,,,,00:34
Cheam,274783,Waterloo,00:47,1,every 00:12,,,,00:47
Cheam,274783,Charing Cross,00:56,1,every 00:10,,,,00:56
Chelsfield,347974,London Bridge,00:17,0,every 00:15,,,,00:17
Chelsfield,347974,Waterloo,00:27,1,every 00:21,,,,00:27
Chelsfield,347974,Charing Cross,00:28,0,every 00:21,,,,00:28
Chelsfield,347974,Cannon Street,00:34,0,every 00:21,,,,00:34
Chelsfield,347974,Victoria,00:45,1,every 00:16,,,,00:45
Chelsfield,347974,Blackfriars,00:48,1,every 00:21,,,,00:48
Chertsey,332113,Waterloo,00:56,1,every 00:15,,,,00:56
Chessington North,412144,Waterloo,00:35,0,every 00:30,,,,00:35
Chessington South,412144,Waterloo,00:37,0,every 00:30,,,,00:37
Chilworth,438370,Waterloo,00:55,1,every 00:00,,,,00:55
Chipstead,350380,London Bridge,00:37,0,every 00:15,,,,00:37
Chipstead,350380,Victoria,00:43,0,every 00:15,,,,00:43
Chipstead,350380,Waterloo,00:53,1,every 00:15,,,,00:53
Chipstead,350380,Charing Cross,00:58,1,every 00:14,,,,00:58
Chislehurst,347974,London Bridge,00:19,0,every 00:10,,,,00:19
Chislehurst,347974,Cannon Street,00:26,0,every 00:20,,,,00:26
Chislehurst,347974,Waterloo,00:26,1,every 00:09,,,,00:26
Chislehurst,347974,Charing Cross,00:27,0,every 00:09,,,,00:27
Chislehurst,347974,Victoria,00:44,1,every 00:10,,,,00:44
Chislehurst,347974,Blackfriars,00:47,1,every 00:08,,,,00:47
Christs Hospital,325142,Victoria,00:59,0,every 00:30,,,,00:59
Clandon,438370,Waterloo,00:47,0,every 00:22,,,,00:47
Clapham High Street,411350,London Bridge,00:19,0,every 00:30,,,,00:19
Clapham High Street,411350,Charing Cross,00:32,1,every 00:15,,,,00:32
Clapham High Street,411350,Waterloo,00:35,2,every 00:13,,,,00:35
Clapham Junction,569614,Charing Cross,00:29,1,every 00:05,,,,00:29
Clapham Junction,569614,London Bridge,00:32,0,every 00:04,,,,00:32
Claygate,660853,Waterloo,00:29,0,every 00:22,,,,00:29
Clock House,347974,London Bridge,00:26,0,every 00:10,,,,00:26
Clock House,347974,Cannon Street,00:29,0,every 00:17,,,,00:29
Clock House,347974,Waterloo,00:29,1,every 00:14,,,,00:29
Clock House,347974,Charing Cross,00:30,0,every 00:14,,,,00:30
Clock House,347974,Victoria,00:33,1,every 00:12,,,,00:33
Clock House,347974,Blackfriars,00:34,1,every 00:07,,,,00:34
Cobham & Stoke DAbernon,660853,Waterloo,00:36,0,every 00:22,,,,00:36
Coulsdon South,271598,Victoria,00:25,0,every 00:11,,,,00:25
Coulsdon South,271598,London Bridge,00:26,0,every 00:19,,,,00:26
Coulsdon South,271598,Blackfriars,00:35,1,every 00:29,,,,00:35
Coulsdon South,271598,Waterloo,00:39,1,every 00:17,,,,00:39
Coulsdon South,271598,Cannon Street,00:43,1,every 00:15,,,,00:43
Coulsdon South,271598,Charing Cross,00:47,1,every 00:15,,,,00:47
Coulsdon South,271598,Kings Cross,00:53,1,every 00:15,,,,00:53
Coulsdon South,271598,Moorgate,00:57,1,every 00:15,,,,00:57
Coulsdon Town (Smitham),271598,London Bridge,00:31,0,every 00:11,,,,00:31
Coulsdon Town (Smitham),271598,Victoria,00:37,0,every 00:15,,,,00:37
Coulsdon Town (Smitham),271598,Waterloo,00:47,1,every 00:15,,,,00:47
Coulsdon Town (Smitham),271598,Charing Cross,00:52,1,every 00:10,,,,00:52
Cowden,448336,London Bridge,00:45,0,every 00:51,,,,00:45
Cowden,448336,Victoria,00:56,1,every 00:51,,,,00:56
Crawley,216026,Victoria,00:42,0,every 00:19,,,,00:42
Crawley,216026,London Bridge,00:45,0,every 00:11,,,,00:45
Crawley,216026,Waterloo,00:56,1,every 00:15,,,,00:56
Crawley,216026,Blackfriars,00:57,1,every 00:18,,,,00:57
Crofton Park,298892,Blackfriars,00:19,0,every 00:20,,,,00:19
Crofton Park,298892,London Bridge,00:22,1,every 00:17,,,,00:22
Crofton Park,298892,Charing Cross,00:32,1,every 00:17,,,,00:32
Crofton Park,298892,Victoria,00:32,1,every 00:18,,,,00:32
Crofton Park,298892,Waterloo,00:33,1,every 00:17,,,,00:33
Crofton Park,298892,Cannon Street,00:39,2,every 00:10,,,,00:39
